Source,Target,Weight,X,Y,Walk
SW6 Layar,SW7 Tongkang,1,1.392079839,103.8800158,N
SW7 Tongkang,SW8 Renjong,1,1.389347953,103.8858287,N
SW8 Renjong,NE16 STC Sengkang,2,1.402886722,103.9053214,N
NS24 NE6 CC1 Dhoby Ghaut,CC2 Bras Basah,2,1.298701307,103.8461119,N
CC2 Bras Basah,CC3 Esplanade,2,1.296861687,103.8506629,N
CC3 Esplanade,CC4 DT15 Promenade,2,1.293321608,103.8554985,N
CC4 DT15 Promenade,CC5 Nicoll Highway,2,1.293218051,103.8609921,N
CC5 Nicoll Highway,CC6 Stadium,2,1.299766835,103.8636292,N
CC6 Stadium,CC7 Mountbatten,2,1.30284063,103.8753395,N
CC7 Mountbatten,CC8 Dakota,2,1.306201905,103.8825153,N
CC8 Dakota,EW8 CC9 Paya Lebar,2,1.30838264,103.888648,N
EW8 CC9 Paya Lebar,CC10 DT26 MacPherson,2,1.318112082,103.8930446,N
CC10 DT26 MacPherson,CC11 Tai Seng,2,1.326345372,103.8902718,N
CC11 Tai Seng,CC12 Bartley,2,1.335433322,103.88818,N
CC12 Bartley,NE12 CC13 Serangoon,3,1.342828338,103.8797462,N
NE12 CC13 Serangoon,CC14 Lorong Chuan,2,1.349707875,103.8735637,N
CC14 Lorong Chuan,NS17 CC15 Bishan,3,1.351636,103.864064,N
NS17 CC15 Bishan,CC16 Marymount,3,1.350838988,103.8481398,N
CC16 Marymount,CC17 TE9 Caldecott,2,1.348707263,103.8394214,N
CC17 TE9 Caldecott,CC19 DT9 Botanic Gardens,5,1.337761,103.839447,N
CC19 DT9 Botanic Gardens,CC20 Farrer Road,2,1.322110193,103.8149876,N
CC20 Farrer Road,CC21 Holland Village,3,1.317510612,103.8075929,N
CC21 Holland Village,EW21 CC22 Buona Vista,2,1.31183479,103.7962016,N
EW21 CC22 Buona Vista,CC23 one-north,2,1.307183467,103.7902028,N
CC23 one-north,CC24 Kent Ridge,2,1.299759879,103.7874693,N
CC24 Kent Ridge,CC25 Haw Par Villa,2,1.293462633,103.7846438,N
CC25 Haw Par Villa,CC26 Pasir Panjang,2,1.282542157,103.7818234,N
CC26 Pasir Panjang,CC27 Labrador Park,3,1.276213523,103.7913607,N
CC27 Labrador Park,CC28 Telok Blangah,2,1.272332732,103.8029471,N
CC28 Telok Blangah,NE1 CC29 HarbourFront,2,1.270753211,103.8097544,N
EW1 Pasir Ris,EW2 DT32 Tampines,2,1.372983774,103.9492348,N
EW2 DT32 Tampines,EW3 Simei,3,1.353301356,103.9451175,N
EW3 Simei,EW4 CG Tanah Merah,3,1.343202895,103.9533387,N
EW4 CG Tanah Merah,EW5 Bedok,3,1.327187135,103.9463161,N
EW5 Bedok,EW6 Kembangan,2,1.323979969,103.9299587,N
EW6 Kembangan,EW7 Eunos,2,1.321038249,103.9129282,N
EW7 Eunos,EW8 CC9 Paya Lebar,2,1.319778952,103.9032339,N
EW8 CC9 Paya Lebar,EW9 Aljunied,2,1.318112082,103.8930446,N
EW9 Aljunied,EW10 Kallang,2,1.316432612,103.882893,N
EW10 Kallang,EW11 Lavender,2,1.31148891,103.8713766,N
EW11 Lavender,EW12 DT14 Bugis,2,1.30735702,103.8628215,N
EW12 DT14 Bugis,NS25 EW13 City Hall,2,1.300465076,103.8557007,N
NS25 EW13 City Hall,NS26 EW14 Raffles Place,2,1.292936243,103.852581,N
NS26 EW14 Raffles Place,EW15 Tanjong Pagar,2,1.284125611,103.8514572,N
EW15 Tanjong Pagar,EW16 NE3 TE17 Outram Park,2,1.276521247,103.8458611,N
EW16 NE3 TE17 Outram Park,EW17 Tiong Bahru,2,1.279764543,103.8395732,N
EW17 Tiong Bahru,EW18 Redhill,2,1.286193393,103.827021,N
EW18 Redhill,EW19 Queenstown,2,1.289562726,103.8168209,N
EW19 Queenstown,EW20 Commonwealth,2,1.294860933,103.8058913,N
EW20 Commonwealth,EW21 CC22 Buona Vista,2,1.302438735,103.7983136,N
EW21 CC22 Buona Vista,EW22 Dover,2,1.307183467,103.7902028,N
EW22 Dover,EW23 Clementi,3,1.311405293,103.7786522,N
EW23 Clementi,NS1 EW24 Jurong East,4,1.314954492,103.7653168,N
NS1 EW24 Jurong East,EW25 Chinese Garden,2,1.33315262,103.7423112,N
EW25 Chinese Garden,EW26 Lakeside,2,1.342352821,103.7326244,N
EW26 Lakeside,EW27 Boon Lay,3,1.344259249,103.7209802,N
EW27 Boon Lay,EW28 Pioneer,2,1.338604054,103.7060994,N
EW28 Pioneer,EW29 Joo Koon,4,1.337586882,103.6973586,N
EW29 Joo Koon,EW30 Gul Circle,3,1.327717173,103.6784167,N
EW30 Gul Circle,EW31 Tuas Crescent,2,1.319505215,103.6605988,N
EW31 Tuas Crescent,EW32 Tuas West Road,2,1.321026553,103.6491245,N
EW32 Tuas West Road,EW33 Tuas Link,1,1.329989089,103.6396662,N
EW33 Tuas Link,EW32 Tuas West Road,1,1.334793,103.637204,N
DT13 Rochor,DT22 Jalan Besar,3,1.302257124,103.8515449,Y
TE1 Woodlands North,NS9 TE2 Woodlands,2,1.448226833,103.7858654,N
NS9 TE2 Woodlands,TE3 Woodlands South,2,1.437270155,103.7877184,N
TE3 Woodlands South,TE4 Springleaf,7,1.427619336,103.7938348,N
TE4 Springleaf,TE5 Lentor,4,1.397580435,103.8188973,N
TE5 Lentor,TE6 Mayflower,2,1.38456991,103.837087,N
TE6 Mayflower,TE7 Bright Hill,1,1.372795759,103.8373586,N
TE7 Bright Hill,TE8 Upper Thomson,2,1.363301808,103.8336619,N
TE8 Upper Thomson,CC17 TE9 Caldecott,3,1.354186215,103.8345315,N
CC17 TE9 Caldecott,DT10 TE11 Stevens,5,1.337630816,103.8400818,N
DT10 TE11 Stevens,TE12 Napier,2,1.319946924,103.8260322,N
TE12 Napier,TE13 Orchard Boulevard,1,1.306060405,103.8198845,N
TE13 Orchard Boulevard,NS22 TE14 Orchard,1,1.302599651,103.8241571,N
NS22 TE14 Orchard,TE15 Great World,3,1.303269537,103.8318615,N
TE15 Great World,TE16 Havelock,1,1.294999299,103.8338365,N
TE16 Havelock,EW16 NE3 TE17 Outram Park,1,1.290336281,103.8334412,N
EW16 NE3 TE17 Outram Park,TE18 Maxwell,1,1.281450562,103.83913,N
TE18 Maxwell,TE19 Shenton Way,1,1.280785634,103.8446019,N
TE19 Shenton Way,NS27 CE2 TE20 Marina Bay,1,1.277834239,103.8511535,N
NS27 CE2 TE20 Marina Bay,TE22 Gardens By the Bay,2,1.276165076,103.8550929,N
TE22 Gardens By the Bay,NS27 CE2 TE20 Marina Bay,2,1.282375,103.864273,N
